Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1711132046.174	  1125.283	0	0	0	0	cd paml/burmPartials/infA/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
5	:	1711132046.171	  3618.575	0	0	0	0	cd paml/burmPartials/clpP/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
4	:	1711132046.169	  3733.953	0	0	0	0	cd paml/burmPartials/cemA/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
3	:	1711132046.167	  6876.822	0	0	0	0	cd paml/burmPartials/ccsA/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
1	:	1711132046.163	  7350.206	0	0	0	0	cd paml/burmPartials/accD/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
12	:	1711132046.194	  7725.641	0	0	0	0	cd paml/burmPartials/rbcL/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
16	:	1711138923.007	  2495.762	0	0	0	0	cd paml/burmPartials/ycf3/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
7	:	1711132046.176	 10080.140	0	0	0	0	cd paml/burmPartials/matK/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
17	:	1711139396.388	  2941.851	0	0	0	0	cd paml/burmPartials/ycf4/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
9	:	1711132046.182	 11915.992	0	0	0	0	cd paml/burmPartials/pet/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
13	:	1711133171.472	 14311.710	0	0	0	0	cd paml/burmPartials/rpl/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
2	:	1711132046.165	 17195.408	0	0	0	0	cd paml/burmPartials/atp/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
11	:	1711132046.190	 18919.184	0	0	0	0	cd paml/burmPartials/psb/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
10	:	1711132046.185	 22745.430	0	0	0	0	cd paml/burmPartials/psa/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
15	:	1711135780.134	 21775.668	0	0	0	0	cd paml/burmPartials/rps/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
8	:	1711132046.178	 35325.002	0	0	0	0	cd paml/burmPartials/ndh/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
14	:	1711135664.757	 33521.812	0	0	0	0	cd paml/burmPartials/rpo/ && python3 ../../../scripts/2a_paml.py *.fasta ../*.tre branch ../test_taxa_*.txt
